Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
31064232494,Herbert River Rugby League Inc  ,,INGHAM,,DJAG,State,Breakwater Island Casino Community Benefit Fund - Round 49,,Grant,Operational,24/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE SMARTBOARD AND STAND,No,Hinchinbrook Shire,,,,33800,33800,,http://www.olgr.grants.qld.gov.au/
21901258413,Brothers Sports And Community Club Ingham Inc,,INGHAM,,DJAG,State,Breakwater Island Casino Community Benefit Fund - Round 49,,Grant,Operational,24/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE CARD PRINTER AND NOTEBOOK,No,Hinchinbrook Shire,,,,614,614,,http://www.olgr.grants.qld.gov.au/
78311856293,Halifax Progress Association Incorporated,,HALIFAX,,DJAG,State,Breakwater Island Casino Community Benefit Fund - Round 50,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE PRINTER AND PA SYSTEM,No,Hinchinbrook Shire,,,,26833,26833,,http://www.olgr.grants.qld.gov.au/
42038034497,Herbert River Pony Club Inc  ,,INGHAM,,DJAG,State,Breakwater Island Casino Community Benefit Fund - Round 50,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE SPORTS EQUIPMENT,No,Hinchinbrook Shire,,,,7735,7735,,http://www.olgr.grants.qld.gov.au/
92357655042,Ingham Football Club Inc  ,,INGHAM,,DJAG,State,Breakwater Island Casino Community Benefit Fund - Round 50,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE CATERING EQUIPMENT,No,Hinchinbrook Shire,,,,19327,19327,,http://www.olgr.grants.qld.gov.au/
19823962345,Department Of Community Safety  ,,KEDRON,Ingham Local Ambulance Committee  ,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE TRAINING MANIKINS,No,Hinchinbrook Shire,,,,29631,29631,,http://www.olgr.grants.qld.gov.au/
91949361992,Ingham Gymnastics Club Inc.  ,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,CONSTRUCT AWNING AND INSULATE ROOF,No,Hinchinbrook Shire,,,,24255,24255,,http://www.olgr.grants.qld.gov.au/
24290176179,Hinchinbrook Community Support Centre Inc,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE FURNITURE FOR CRISIS HOUSING,No,Hinchinbrook Shire,,,,24318,24318,,http://www.olgr.grants.qld.gov.au/
88112939006,Herbert River Museum Gallery Inc  ,,HALIFAX,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,UPGRADE BUILDING AND REPAIR PHOTOGRAPHS,No,Hinchinbrook Shire,,,,27771,27771,,http://www.olgr.grants.qld.gov.au/
53690441202,Ingham Tennis Assn Inc  ,,INGHAM,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,REPLACE FENCING,No,Hinchinbrook Shire,,,,24564,24564,,http://www.olgr.grants.qld.gov.au/
60278528179,Nywaigi Land Corporation Aboriginal  ,,FORREST BEACH,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE VEHICLE,No,Hinchinbrook Shire,,,,2400,2400,,http://www.olgr.grants.qld.gov.au/
32547908820,Forrest Beach Surf Lifesaving Club Inc  ,,FORREST BEACH,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,PURCHASE INFLATABLE RESCUE BOAT,No,Hinchinbrook Shire,,,,538,538,,http://www.olgr.grants.qld.gov.au/
